# amp, inclination, xerr1, xerr2, yerr1, yerr2
0.1798676971986984, 21.93091262479011,,,,
0.5292795664685859, 22.942363792167782, 4.2093e-1, 6.35e-1, 21.065, 24.969
0.32969201277324156, 26.94336329139982, 2.597e-1, 4.0155e-1, 22.87, 30.97
0.2098832680421606, 34.94476700538827, 1.699e-1, 2.507e-1, 27.97, 41.79
0.5590213035618948, 39.94486886930886,,,, 47.79
0.4692860405235544, 50.95851606588512, 4.209e-1, 5.203e-1, 42.09, 59.81
1.0674650498268616, 52.95226935613617,,, 49.90, 55.91
0.6891119086350325, 54.954236239950546,,, 45.094, 64.92
1.2670747646245744, 55.959147728355404, 1.1321, 1.1399,, 73.029
0.35957047698640815, 59.9559901945444,,, 51.10, 79.94
0.5392508131510583, 60.95602343566507, 4.9057e-1, 5.9231e-1, 43.89, 77.84
0.7983727568374792, 75.97972446527908,,, 55.91, 89.85
1.4960860090337764, 79.96619997135156,,, 67.92, 89.85
0.8980977695583029, 85.96793862740535,,, 76.03, 89.85
1.326674966496229, 87.96884250889732, 1.2587, 1.3995, 79.94, 89.95
0.3895192348949259, 89.97061491685683,,, 88.047,
